dt,open,high,low,close,volume,Rsi7,Rsi14,Rsi26,ema7,ema12,ema26,sma7,sma14,sma26,bollup,bolldown,sma20,macd
3/29/2022,47122.21,48096.47,46950.85,47434.8,36772.28,84.87,70.09,60.7,45297.63,44296.19,42625.63,45297.63,43933.72,42625.63,47824.14,36314.9,42069.52,1670.560000000005
3/30/2022,47434.79,47700.22,46445.42,47067.99,40947.21,78.81,68.04,59.83,45895.52,44722.63,42954.68,45895.52,44351.61,42954.68,48475.48,36428.16,42451.82,1767.949999999997
3/31/2022,47067.99,47600.0,45200.0,45510.34,48645.13,58.22,59.98,56.28,46112.5,44843.82,43143.98,46112.5,44506.1,43143.98,48694.52,36887.2,42790.86,1699.8399999999965
4/1/2022,45510.35,46720.09,44200.0,46283.49,56271.06,63.71,62.36,57.58,46393.98,45065.31,43376.52,46393.98,44743.08,43376.52,48951.91,37377.43,43164.67,1688.7900000000009
4/2/2022,46283.49,47213.0,45620.0,45811.0,37073.54,58.25,60.01,56.52,46579.66,45180.03,43556.84,46579.66,44885.47,43556.84,48874.55,38258.15,43566.35,1623.1900000000023
4/3/2022,45810.99,47444.11,45530.92,46407.35,33394.68,62.93,61.96,57.55,46519.6,45368.85,43767.98,46519.6,45088.38,43767.98,49022.21,38784.09,43903.15,1600.8699999999953
4/4/2022,46407.36,46890.71,45118.0,46580.51,44641.88,64.28,62.53,57.85,46442.21,45555.26,43976.3,46442.21,45287.33,43976.3,49027.76,39508.56,44268.16,1578.9599999999991
4/5/2022,46580.5,47200.0,45353.81,45497.55,42192.75,50.75,56.79,55.29,46165.46,45546.38,44088.98,46165.46,45315.36,44088.98,49034.33,39940.33,44487.33,1457.3999999999942
4/6/2022,45497.54,45507.14,43121.0,43170.47,60849.33,33.21,46.84,50.32,45608.67,45180.85,44020.95,45608.67,45029.38,44020.95,48878.36,40321.56,44599.96,1159.9000000000015
4/7/2022,43170.47,43900.99,42727.35,43444.19,37396.54,36.23,48.0,50.86,45313.51,44913.66,43978.23,45313.51,44818.03,43978.23,48789.78,40578.82,44684.3,935.4300000000003
4/8/2022,43444.2,43970.62,42107.14,42252.01,42375.04,29.46,43.56,48.47,44737.58,44504.17,43850.37,44737.58,44475.9,43850.37,48785.9,40587.78,44686.84,653.7999999999956
4/9/2022,42252.02,42800.0,42125.48,42753.97,17891.66,35.39,45.83,49.51,44300.86,44234.9,43769.16,44300.86,44246.32,43769.16,48646.81,40876.05,44761.43,465.73999999999796
4/10/2022,42753.96,43410.3,41868.0,42158.85,22771.09,31.7,43.59,48.31,43693.94,43915.5,43649.88,43693.94,43968.0,43649.88,48497.98,41140.54,44819.26,265.6200000000026
4/11/2022,42158.85,42414.71,39200.0,39530.45,63560.45,20.63,35.37,43.46,42686.78,43240.86,43344.75,42686.78,43376.34,43344.75,48928.26,40426.9,44677.58,-103.88999999999942
4/12/2022,39530.45,40699.0,39254.63,40074.94,57751.02,26.81,37.98,44.66,41912.13,42753.78,43102.56,41912.13,42936.16,43102.56,49202.69,39871.69,44537.19,-348.77999999999884
4/13/2022,40074.95,41561.31,39588.54,41147.79,41342.27,37.92,42.87,46.96,41623.17,42506.7,42957.77,41623.17,42697.72,42957.77,49297.83,39492.19,44395.01,-451.0699999999997
4/14/2022,41147.78,41500.0,39551.94,39942.38,36807.01,31.63,39.14,44.78,41122.91,42112.18,42734.42,41122.91,42330.35,42734.42,49468.83,38884.11,44176.47,-622.239999999998
4/15/2022,39942.37,40870.36,39766.4,40551.9,24026.36,37.72,41.89,46.1,40880.04,41872.13,42572.76,40880.04,42093.23,42572.76,49508.98,38448.02,43978.5,-700.6300000000047
4/16/2022,40551.9,40709.35,39991.55,40378.71,15805.45,36.64,41.32,45.77,40540.72,41642.37,42410.25,40540.72,41864.63,42410.25,49238.82,38073.26,43656.04,-767.8799999999974
4/17/2022,40378.7,40595.67,39546.17,39678.12,19988.49,32.27,39.0,44.47,40186.33,41340.17,42207.88,40186.33,41573.1,42207.88,48886.18,37681.5,43283.84,-867.7099999999991
4/18/2022,39678.11,41116.73,38536.51,40801.13,54243.5,44.63,44.4,46.99,40367.85,41257.24,42103.68,40367.85,41470.17,42103.68,48299.4,37604.92,42952.16,-846.4400000000023
4/19/2022,40801.13,41760.0,40571.0,41493.18,35788.86,51.05,47.48,48.48,40570.46,41293.54,42058.46,40570.46,41473.24,42058.46,47688.18,37658.66,42673.42,-764.9199999999983
4/20/2022,41493.19,42199.0,40820.0,41358.19,40877.35,49.74,46.93,48.21,40600.52,41303.49,42006.59,40600.52,41457.9,42006.59,47327.51,37604.11,42465.81,-703.0999999999985
4/21/2022,41358.19,42976.0,39751.0,40480.01,59316.28,41.61,43.43,46.42,40677.32,41176.8,41893.52,40677.32,41327.52,41893.52,46762.93,37588.33,42175.63,-716.7199999999939
4/22/2022,40480.01,40795.06,39177.0,39709.18,46664.02,35.65,40.57,44.9,40556.93,40951.01,41731.73,40556.93,41111.75,41731.73,46246.6,37494.48,41870.54,-780.7200000000012
4/23/2022,39709.19,39980.0,39285.0,39441.6,20291.42,33.7,39.59,44.37,40423.06,40718.79,41562.1,40423.06,40889.07,41562.1,45465.36,37579.16,41522.26,-843.3099999999977
4/24/2022,39441.61,39940.0,38929.62,39450.13,26703.61,33.83,39.64,44.4,40390.49,40523.61,41405.67,40390.49,40697.22,41405.67,44410.78,37920.7,41165.74,-882.0599999999977
4/25/2022,39450.12,40616.0,38200.0,40426.08,63037.13,47.97,45.21,46.85,40336.91,40508.61,41333.11,40336.91,40661.07,41333.11,43446.78,38377.54,40912.16,-824.5
4/26/2022,40426.08,40797.31,37702.26,38112.65,66650.26,30.15,36.59,42.26,39853.98,40139.99,41094.57,39853.98,40321.29,41094.57,43253.73,38064.81,40659.27,-954.5800000000017
4/27/2022,38112.64,39474.72,37881.31,39235.72,57083.12,42.29,42.34,44.98,39550.77,40000.87,40956.88,39550.77,40176.55,40956.88,42759.41,38138.29,40448.85,-956.0099999999948
4/28/2022,39235.72,40372.63,38881.43,39742.07,56086.67,47.13,44.77,46.17,39445.35,39961.05,40866.9,39445.35,40118.62,40866.9,42489.69,38157.01,40323.35,-905.8499999999985
4/29/2022,39742.06,39925.25,38175.0,38596.11,51453.66,38.59,40.6,43.93,39286.34,39751.05,40698.7,39286.34,39915.62,40698.7,42089.12,38141.8,40115.46,-947.6499999999942
4/30/2022,38596.11,38795.38,37578.2,37630.8,35321.19,32.76,37.44,42.14,39027.65,39424.85,40471.46,39027.65,39610.98,40471.46,41913.94,37864.18,39889.06,-1046.6100000000006
5/1/2022,37630.8,38675.0,37386.38,38468.35,38812.24,41.68,41.68,44.19,38887.4,39277.69,40323.09,38887.4,39458.63,40323.09,41954.01,37717.89,39835.95,-1045.3999999999942
5/2/2022,38468.35,39167.34,38052.0,38525.16,53200.93,42.29,41.97,44.33,38615.84,39161.91,40189.92,38615.84,39334.17,40189.92,41951.76,37565.16,39758.46,-1028.0099999999948
5/3/2022,38525.16,38651.51,37517.8,37728.95,40316.45,36.15,39.06,42.78,38561.02,38941.45,40007.64,38561.02,39120.15,40007.64,41856.5,37318.54,39587.52,-1066.1900000000023
5/4/2022,37728.95,40023.77,37670.0,39690.0,62574.62,54.94,48.52,47.49,38625.92,39056.61,39984.11,38625.92,39196.13,39984.11,41838.38,37311.42,39574.9,-927.5
5/5/2022,39690.0,39845.51,35571.9,36552.97,88722.43,35.46,38.28,41.77,38170.33,38671.42,39729.97,38170.33,38843.72,39729.97,41958.88,36791.04,39374.96,-1058.550000000003
5/6/2022,36552.97,36675.63,35258.0,36013.77,68437.8,33.11,36.84,40.89,37801.43,38262.54,39454.71,37801.43,38466.4,39454.71,42096.51,36216.91,39156.71,-1192.1699999999983
5/7/2022,36013.77,36146.3,34785.0,35472.39,34281.71,30.72,35.4,40.0,37493.08,37833.28,39159.74,37493.08,38067.21,39159.74,42301.52,35591.32,38946.42,-1326.4599999999991
5/8/2022,35472.4,35514.22,33713.95,34038.4,72445.64,25.12,31.85,37.76,36860.23,37249.44,38780.4,36860.23,37530.05,38780.4,42497.03,34719.55,38608.29,-1530.9599999999991
